DAYOFWEEK,MONTH,LOCATION,LATITUDE,LONGITUDE,CRIMECAT
4,2,NAS ST. POLY,8.507164,8.520902,13
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
3,8,OLD TOMATO MARKET,8.2935,8.3112,1
2,2,POST OFFICE,8.496123,8.516234,5
4,2,NAS ST. POLY,8.507164,8.520902,11
4,2,NAS ST. POLY,8.507164,8.520902,3
4,2,BUKAN-SIDI,8.528667,8.518594,13
4,2,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,11
4,2,NAS ST. POLY,8.507164,8.520902,3
3,5,BUKAN-SIDI,8.528667,8.518594,12
0,10,NAS ST. POLY,8.507164,8.520902,11
4,2,NAS ST. POLY,8.507164,8.520902,5
4,2,U.A.C ROAD,8.497414,8.513013,5
1,1,NAS ST. POLY,8.507164,8.520902,5
1,6,POST OFFICE,8.496123,8.516234,3
1,8,NAS ST. POLY,8.507164,8.520902,5
5,8,NAS ST. POLY,8.507164,8.520902,5
4,2,U.A.C ROAD,8.497414,8.513013,13
4,1,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,2
4,2,OLD TOMATO MARKET,8.2935,8.3112,13
4,2,NAS ST. POLY,8.507164,8.520902,11
4,2,BUKAN-SIDI,8.528667,8.518594,7
4,2,BUKAN-SIDI,8.528667,8.518594,9
4,2,BUKAN-SIDI,8.528667,8.518594,12
6,12,OLD TOMATO MARKET,8.2935,8.3112,5
1,11,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,5
6,10,OLD TOMATO MARKET,8.2935,8.3112,11
5,9,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,5
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
0,5,BUKAN-SIDI,8.528667,8.518594,2
4,2,POST OFFICE,8.496123,8.516234,9
4,2,OLD TOMATO MARKET,8.2935,8.3112,7
4,2,OLD TOMATO MARKET,8.2935,8.3112,2
4,2,OLD TOMATO MARKET,8.2935,8.3112,13
6,1,POST OFFICE,8.496123,8.516234,11
4,2,U.A.C ROAD,8.497414,8.513013,7
2,1,U.A.C ROAD,8.497414,8.513013,2
4,2,POST OFFICE,8.496123,8.516234,12
4,2,BUKAN-SIDI,8.528667,8.518594,7
1,7,NAS ST. POLY,8.507164,8.520902,11
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
2,8,BUKAN-SIDI,8.528667,8.518594,11
5,1,U.A.C ROAD,8.497414,8.513013,11
4,2,BUKAN-SIDI,8.528667,8.518594,5
1,11,NAS ST. POLY,8.507164,8.520902,5
4,2,OLD TOMATO MARKET,8.2935,8.3112,13
1,12,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,13
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
2,10,U.A.C ROAD,8.497414,8.513013,12
4,2,OLD TOMATO MARKET,8.2935,8.3112,5
3,7,NAS ST. POLY,8.507164,8.520902,13
4,2,NAS ST. POLY,8.507164,8.520902,11
4,4,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,MODERN MARKET,8.491388,8.528523,13
4,2,U.A.C ROAD,8.497414,8.513013,13
4,11,U.A.C ROAD,8.497414,8.513013,5
4,2,NAS ST. POLY,8.507164,8.520902,11
4,2,OLD TOMATO MARKET,8.2935,8.3112,112
4,2,U.A.C ROAD,8.497414,8.513013,11
4,2,POST OFFICE,8.496123,8.516234,11
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,6,U.A.C ROAD,8.497414,8.513013,12
4,2,NAS ST. POLY,8.507164,8.520902,3
4,2,NAS ST. POLY,8.507164,8.520902,5
6,1,NAS ST. POLY,8.507164,8.520902,5
4,2,BUKAN-SIDI,8.528667,8.518594,2
3,2,POST OFFICE,8.496123,8.516234,11
4,2,U.A.C ROAD,8.497414,8.513013,11
4,2,U.A.C ROAD,8.497414,8.513013,12
4,2,NAS ST. POLY,8.507164,8.520902,13
2,10,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,11
4,2,OLD TOMATO MARKET,8.2935,8.3112,13
4,2,U.A.C ROAD,8.497414,8.513013,11
4,2,U.A.C ROAD,8.497414,8.513013,1
4,2,NAS ST. POLY,8.507164,8.520902,9
3,4,U.A.C ROAD,8.497414,8.513013,5
4,2,BUKAN-SIDI,8.528667,8.518594,5
2,6,U.A.C ROAD,8.497414,8.513013,11
4,2,NAS ST. POLY,8.507164,8.520902,11
4,2,NAS ST. POLY,8.507164,8.520902,5
0,12,NAS ST. POLY,8.507164,8.520902,5
4,2,NAS ST. POLY,8.507164,8.520902,7
2,7,NAS ST. POLY,8.507164,8.520902,3
4,2,U.A.C ROAD,8.497414,8.513013,13
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
3,11,U.A.C ROAD,8.497414,8.513013,7
6,12,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,BUKAN-SIDI,8.528667,8.518594,13
4,2,POST OFFICE,8.496123,8.516234,13
4,2,NAS ST. POLY,8.507164,8.520902,12
4,2,BUKAN-SIDI,8.528667,8.518594,11
4,2,NAS ST. POLY,8.507164,8.520902,3
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,U.A.C ROAD,8.497414,8.513013,11
5,7,U.A.C ROAD,8.497414,8.513013,2
4,2,U.A.C ROAD,8.497414,8.513013,7
5,1,BUKAN-SIDI,8.528667,8.518594,13
3,10,BUKAN-SIDI,8.528667,8.518594,5
1,8,U.A.C ROAD,8.497414,8.513013,5
4,2,NAS ST. POLY,8.507164,8.520902,11
2,5,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,5
4,2,OLD TOMATO MARKET,8.2935,8.3112,11
4,2,NAS ST. POLY,8.507164,8.520902,5
5,8,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,112
4,2,U.A.C ROAD,8.497414,8.513013,2
4,1,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,11
2,7,NAS ST. POLY,8.507164,8.520902,11
4,2,NAS ST. POLY,8.507164,8.520902,5
4,2,MODERN MARKET,8.491388,8.528523,11
2,8,POST OFFICE,8.496123,8.516234,3
4,2,U.A.C ROAD,8.497414,8.513013,11
5,2,OLD TOMATO MARKET,8.2935,8.3112,1
4,10,NAS ST. POLY,8.507164,8.520902,5
5,2,OLD TOMATO MARKET,8.2935,8.3112,5
6,11,U.A.C ROAD,8.497414,8.513013,1
5,2,U.A.C ROAD,8.497414,8.513013,5
5,2,U.A.C ROAD,8.497414,8.513013,13
0,5,OLD TOMATO MARKET,8.2935,8.3112,11
0,4,NAS ST. POLY,8.507164,8.520902,5
2,8,U.A.C ROAD,8.497414,8.513013,11
5,2,OLD TOMATO MARKET,8.2935,8.3112,5
5,2,OLD TOMATO MARKET,8.2935,8.3112,11
3,6,U.A.C ROAD,8.497414,8.513013,2
5,2,U.A.C ROAD,8.497414,8.513013,7
3,1,U.A.C ROAD,8.497414,8.513013,11
5,2,OLD TOMATO MARKET,8.2935,8.3112,12
4,8,NAS ST. POLY,8.507164,8.520902,12
6,8,NAS ST. POLY,8.507164,8.520902,12
5,2,POST OFFICE,8.496123,8.516234,11
5,2,BUKAN-SIDI,8.528667,8.518594,5
5,2,NAS ST. POLY,8.507164,8.520902,11
5,2,U.A.C ROAD,8.497414,8.513013,11
5,2,NAS ST. POLY,8.507164,8.520902,11
5,2,U.A.C ROAD,8.497414,8.513013,12
3,2,OLD TOMATO MARKET,8.2935,8.3112,11
5,2,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,13
5,2,NAS ST. POLY,8.507164,8.520902,11
5,2,NAS ST. POLY,8.507164,8.520902,5
0,5,U.A.C ROAD,8.497414,8.513013,7
5,2,OLD TOMATO MARKET,8.2935,8.3112,11
5,2,U.A.C ROAD,8.497414,8.513013,11
5,2,POST OFFICE,8.496123,8.516234,13
5,2,NAS ST. POLY,8.507164,8.520902,12
5,2,U.A.C ROAD,8.497414,8.513013,11
5,4,U.A.C ROAD,8.497414,8.513013,11
0,6,NAS ST. POLY,8.507164,8.520902,5
5,2,NAS ST. POLY,8.507164,8.520902,11
5,2,NAS ST. POLY,8.507164,8.520902,11
5,2,OLD TOMATO MARKET,8.2935,8.3112,11
5,2,NAS ST. POLY,8.507164,8.520902,5
1,6,U.A.C ROAD,8.497414,8.513013,2
5,2,NAS ST. POLY,8.507164,8.520902,13
5,2,NAS ST. POLY,8.507164,8.520902,7
5,2,OLD TOMATO MARKET,8.2935,8.3112,11
5,2,MODERN MARKET,8.491388,8.528523,7
5,2,BUKAN-SIDI,8.528667,8.518594,12
4,9,NAS ST. POLY,8.507164,8.520902,3
5,2,NAS ST. POLY,8.507164,8.520902,5
4,9,U.A.C ROAD,8.497414,8.513013,7
3,9,U.A.C ROAD,8.497414,8.513013,12
5,2,NAS ST. POLY,8.507164,8.520902,13
5,2,NAS ST. POLY,8.507164,8.520902,12
5,12,NAS ST. POLY,8.507164,8.520902,5
5,8,OLD TOMATO MARKET,8.2935,8.3112,11
5,2,MODERN MARKET,8.491388,8.528523,2
4,4,MODERN MARKET,8.491388,8.528523,5
5,2,BUKAN-SIDI,8.528667,8.518594,5
1,6,NAS ST. POLY,8.507164,8.520902,11
5,2,NAS ST. POLY,8.507164,8.520902,13
2,11,U.A.C ROAD,8.497414,8.513013,7
0,5,OLD TOMATO MARKET,8.2935,8.3112,12
5,2,U.A.C ROAD,8.497414,8.513013,11
5,5,U.A.C ROAD,8.497414,8.513013,11
2,9,U.A.C ROAD,8.497414,8.513013,11
0,4,NAS ST. POLY,8.507164,8.520902,11
5,2,U.A.C ROAD,8.497414,8.513013,11
5,2,U.A.C ROAD,8.497414,8.513013,3
5,9,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,8
5,9,BUKAN-SIDI,8.528667,8.518594,12
5,2,NAS ST. POLY,8.507164,8.520902,7
5,2,BUKAN-SIDI,8.528667,8.518594,12
5,2,NAS ST. POLY,8.507164,8.520902,11
5,2,U.A.C ROAD,8.497414,8.513013,11
5,2,BUKAN-SIDI,8.528667,8.518594,2
5,2,U.A.C ROAD,8.497414,8.513013,7
1,6,BUKAN-SIDI,8.528667,8.518594,5
6,5,NAS ST. POLY,8.507164,8.520902,5
5,2,U.A.C ROAD,8.497414,8.513013,7
5,2,OLD TOMATO MARKET,8.2935,8.3112,11
5,2,NAS ST. POLY,8.507164,8.520902,5
6,10,NAS ST. POLY,8.507164,8.520902,11
5,2,NAS ST. POLY,8.507164,8.520902,5
6,10,NAS ST. POLY,8.507164,8.520902,7
5,2,BUKAN-SIDI,8.528667,8.518594,11
5,2,U.A.C ROAD,8.497414,8.513013,11
5,1,U.A.C ROAD,8.497414,8.513013,12
5,2,BUKAN-SIDI,8.528667,8.518594,3
5,12,U.A.C ROAD,8.497414,8.513013,1
5,2,U.A.C ROAD,8.497414,8.513013,7
5,2,U.A.C ROAD,8.497414,8.513013,12
5,2,BUKAN-SIDI,8.528667,8.518594,11
5,2,NAS ST. POLY,8.507164,8.520902,3
5,2,U.A.C ROAD,8.497414,8.513013,11
1,8,NAS ST. POLY,8.507164,8.520902,13
5,2,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,11
5,2,OLD TOMATO MARKET,8.2935,8.3112,7
0,12,NAS ST. POLY,8.507164,8.520902,11
5,2,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,5
5,12,NAS ST. POLY,8.507164,8.520902,7
3,12,OLD TOMATO MARKET,8.2935,8.3112,12
5,2,MODERN MARKET,8.491388,8.528523,11
5,2,OLD TOMATO MARKET,8.2935,8.3112,13
5,2,U.A.C ROAD,8.497414,8.513013,7
5,2,U.A.C ROAD,8.497414,8.513013,11
6,1,U.A.C ROAD,8.497414,8.513013,11
5,2,OLD TOMATO MARKET,8.2935,8.3112,11
6,12,OLD TOMATO MARKET,8.2935,8.3112,13
4,6,NAS ST. POLY,8.507164,8.520902,11
5,2,NAS ST. POLY,8.507164,8.520902,11
5,2,MODERN MARKET,8.491388,8.528523,11
5,2,OLD TOMATO MARKET,8.2935,8.3112,5
5,2,NAS ST. POLY,8.507164,8.520902,2
5,2,OLD TOMATO MARKET,8.2935,8.3112,11
5,2,NAS ST. POLY,8.507164,8.520902,13
3,8,U.A.C ROAD,8.497414,8.513013,1
1,1,OLD TOMATO MARKET,8.2935,8.3112,7
5,2,BUKAN-SIDI,8.528667,8.518594,13
5,2,BUKAN-SIDI,8.528667,8.518594,11
5,2,NAS ST. POLY,8.507164,8.520902,11
5,2,OLD TOMATO MARKET,8.2935,8.3112,12
1,5,U.A.C ROAD,8.497414,8.513013,7
5,2,NAS ST. POLY,8.507164,8.520902,3
5,2,OLD TOMATO MARKET,8.2935,8.3112,13
5,2,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,13
6,11,TUNDUN AMBA,8.2856,8.3018,9
5,2,MODERN MARKET,8.491388,8.528523,2
5,2,NAS ST. POLY,8.507164,8.520902,3
5,2,U.A.C ROAD,8.497414,8.513013,11
5,2,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,12
5,2,OLD TOMATO MARKET,8.2935,8.3112,5
5,2,NAS ST. POLY,8.507164,8.520902,13
5,2,U.A.C ROAD,8.497414,8.513013,5
2,2,U.A.C ROAD,8.497414,8.513013,11
5,1,NAS ST. POLY,8.507164,8.520902,5
5,2,NAS ST. POLY,8.507164,8.520902,11
5,2,OLD TOMATO MARKET,8.2935,8.3112,11
6,11,OLD TOMATO MARKET,8.2935,8.3112,7
5,12,OLD TOMATO MARKET,8.2935,8.3112,5
5,2,U.A.C ROAD,8.497414,8.513013,13
5,2,U.A.C ROAD,8.497414,8.513013,11
5,2,NAS ST. POLY,8.507164,8.520902,13
5,2,OLD TOMATO MARKET,8.2935,8.3112,11
5,2,LAFIA TOWNSHIP STADIUM,8.522797,8.524338,9
5,2,NAS ST. POLY,8.507164,8.520902,2
